,agg_net_price_per_unit,aggregator_name,disc_code,disc_percentage,e_backup_product_id,e_product_id,imprint,misc_product_ids,net_units,p_backup_product_id,p_product_id,pod,product_format,product_title,product_type,publisher_price,region_of_sale,revenue_value,sale_type,temp_transaction_date,tnf_net_price_per_unit,total_rental_duration,total_returns_count,total_returns_value,total_sales_count,total_sales_value,trans_currency,trans_type,transaction_date,vendor_code
31,43.63,GOOGLE,NA,0.19999999999999996,NA,9781134825202,Routledge,NA,1,NA,NA,NA,NA,Philosophy of Literature: An Introduction,EBK,54.54,CA,43.63,PURCHASE,31-10-2019,43.63,0,0,0.0,1,43.63,CAD,SALE,31-10-2019,NA
32,48.83,GOOGLE,NA,0.19999999999999996,NA,9781136779039,Routledge,NA,1,NA,NA,NA,NA,In Their Time: A History of Feminism in Western Society,EBK,61.04,CA,48.83,PURCHASE,31-10-2019,48.83,0,0,0.0,1,48.83,CAD,SALE,31-10-2019,NA
33,60.8,GOOGLE,NA,0.19999999999999996,NA,9781351576161,Routledge,NA,1,NA,NA,NA,NA,Archetypes and Motifs in Folklore and Literature: A Handbook: A Handbook,EBK,76.0,CA,60.8,PURCHASE,31-10-2019,60.8,0,0,0.0,1,60.8,CAD,SALE,31-10-2019,NA
34,48.32,GOOGLE,NA,0.19999999999999996,NA,9781351579551,Routledge,NA,1,NA,NA,NA,NA,Sexual Exploitation and Abuse by UN Peacekeepers: Towards a Hybrid Solution,EBK,60.4,CA,48.32,PURCHASE,31-10-2019,48.32,0,0,0.0,1,48.32,CAD,SALE,31-10-2019,NA
35,82.36,GOOGLE,NA,0.19999999999999996,NA,9781420043327,CRC Press,NA,1,NA,NA,NA,NA,Biological Influences on Criminal Behavior,EBK,102.95,CA,82.36,PURCHASE,31-10-2019,82.36,0,0,0.0,1,82.36,CAD,SALE,31-10-2019,NA
36,48.32,GOOGLE,NA,0.19999999999999996,NA,9781351983433,Routledge,NA,1,NA,NA,NA,NA,The Legitimacy of Citizen-led Deliberative Democracy: The G1000 in Belgium,EBK,60.4,CA,48.32,PURCHASE,31-10-2019,48.32,0,0,0.0,1,48.32,CAD,SALE,31-10-2019,NA
37,39.47,GOOGLE,NA,0.19999999999999996,NA,9781135865979,Routledge,NA,1,NA,NA,NA,NA,Through the Body: A Practical Guide to Physical Theatre,EBK,49.34,CA,39.47,PURCHASE,31-10-2019,39.47,0,0,0.0,1,39.47,CAD,SALE,31-10-2019,NA
38,31.15,GOOGLE,NA,0.19999999999999996,NA,9781317207221,Taylor & Francis,NA,1,NA,NA,NA,NA,Bringing the Froebel Approach to your Early Years Practice,EBK,38.94,CA,31.15,PURCHASE,31-10-2019,31.15,0,0,0.0,1,31.15,CAD,SALE,31-10-2019,NA
39,67.91,GOOGLE,NA,0.19999999999999996,NA,9781439867747,CRC Press,NA,1,NA,NA,NA,NA,"Origami Design Secrets: Mathematical Methods for an Ancient Art, Second Edition",EBK,84.89,CA,67.91,PURCHASE,31-10-2019,67.91,0,0,0.0,1,67.91,CAD,SALE,31-10-2019,NA
40,47.02,GOOGLE,NA,0.19999999999999996,NA,9781136115097,Taylor & Francis,NA,1,NA,NA,NA,NA,Sound Synthesis and Sampling,EBK,58.77,CA,47.02,PURCHASE,31-10-2019,47.02,0,0,0.0,1,47.02,CAD,SALE,31-10-2019,NA
